name,price,capacity_w,capacity_va
CyberPower CP1500PFCLCD,239.95,1000,1500
APC SURT20KRMXLT,24100,16000,20000
APC Back-UPS 1500,189.99,900,1500
CyberPower CP1500AVRLCD,199.95,900,1500
APC SRT10KRMXLI,11700,10000,10000
APC Back-UPS Pro 1500S,299.99,900,1500
CyberPower PR3000LCDSL,1292.95,2700,3000
CyberPower PR2200LCDSL,942.95,1980,2070
APC Back-UPS Pro 1500VA,201.99,900,1500
APC SRT10KXLT,5600,10000,10000
CyberPower CP1500AVRLCD3,199.95,900,1500
CyberPower ST425,69.9,260,425
APC SRT10KRMXLT,8390.75,10000,10000
APC SRT10KXLI,,10000,10000
CyberPower CP1000PFCLCD,179.95,600,1000
CyberPower UT850EG,,425,850
CyberPower OR2200PFCRT2U,740.95,1320,2000
CyberPower PR1500LCD,700.95,1050,1500
APC Back-UPS Pro 1500,304.99,865,1500
CyberPower EC850LCD,119.95,510,850
APC SUA5000RMI5U,9600,4000,5000
APC Back-UPS Pro 1000S,171.94,600,1000
PowerWalker Basic VI 2200 STL UK,,1320,2200
CyberPower CP550SLG,77.95,330,550
CyberPower AVRG750U,119.95,450,750
APC BE600M1,83.99,330,600
APC Back-UPS Pro 700VA,170.99,420,700
APC Back-UPS Pro 1500VA for Gaming,,900,1500
CyberPower OR2200LCDRTXL2U,905.95,1650,2190
APC Back-UPS 1000,183.99,600,1000
Tripp Lite SMX1500XLRT2U,388.72,1350,1500
CyberPower PR3000LCD,1848.95,2700,3000
CyberPower CST135XLU,149.99,810,1350
APC Back-UPS 850,161.99,510,850
CyberPower CP1350PFCLCD,219.95,810,1350
CyberPower CP1350AVRLCD,,810,1350
APC SRT5KXLI,7200,4500,5000
Trust Paxxon,,900,1500
CyberPower OR2200LCDRT2U,665.95,1320,2000
CyberPower EC650LCD,96.95,390,650
APC SRT6KXLT,4967.46,6000,6000
APC SUM3000RMXLI2U,,2850,3000
APC BR1500GI,601.99,865,1500
APC SRT8KXLI,5429.98,8000,8000
APC SMT2200I,,1980,2200
Tripp Lite ECO750UPS,134.82,450,750
VERTIV Liebert PST5,74.99,500,850
Tripp Lite SU10KRT3U,,7000,10000
CyberPower PFC Sinewave CP1500PFCRM2U,359.95,1000,1500
CyberPower CP1200AVR,169.95,720,1200
APC SUA2200RM2U,999.99,1980,2200
APC SMX2200HV,1999.99,1980,2200
APC Back-UPS Pro 1500VA for Gaming,,900,1500
APC Easy UPS BV1000I-MS 230V,,600,1000
CyberPower LE1000DG,138.4,530,1000
APC SMX1500RMI2UNC,1385.61,1200,1500
APC Back-UPS 1350,189.99,810,1350
APC SURTA3000XL,3299.99,2100,3000
VERTIV Liebert PST5,64.98,200,350
HP AF450A,195,950,1400
Tripp Lite SMART3000NET,1659.49,2400,3000
Tripp Lite SMART1500LCD,291.58,900,1500
APC Back-UPS Pro 1350VA,193.37,810,1350
Tripp Lite SMART1500LCDT,243.03,900,1500
APC SMX3000HVNC,3235.11,2700,3000
CyberPower EC750G,109.95,450,750
CyberPower CP850PFCLCD,169.95,510,850
CyberPower PR2200LCD,1569.95,1980,2200
APC BE650G1,97.49,390,650
APC SMT1500US,,1000,1440
CyberPower CP1000AVRLCD,175.95,600,1000
APC BE850G2,133.38,450,850
CyberPower CP900EPFCLCD,,540,900
Tripp Lite SMART3000RMXLN,1317.19,2880,3000
APC SRT5KXLT,3340,4250,5000
CyberPower OL1500RTXL2U,1265.95,1350,1500
CyberPower GX1500U,241.99,900,1500
CyberPower PR5000LCDRTXL5U,4708.95,4000,5000
CyberPower CP1500EPFCLCD,,900,1500
APC SMT1500I,1002.21,980,1500
APC Back-UPS Pro 1350S,231.78,810,1350
Tripp Lite BC350,64.99,180,350
APC SMX2200RMLV2U,1450,1980,2200
APC BE550G,99.99,330,550
APC SMT3000,2148,2700,3000
APC SRT8KRMXLI,,8000,8000
APC SURTA1500RMXL2U,699,1050,1500
APC SURTD6000RMXLP3U,7299.99,4200,6000
APC BN1100M2,444.22,600,1100
Tripp Lite INTERNET350U,77.62,180,350
Tripp Lite SMART1500PSGLCD,322.99,900,1500
APC SMX3000RMLV2U,1685,2700,3000
Tripp Lite SUINT2000XL,,1400,2000
CyberPower CP1300EPFCLCD,,780,1300
VERTIV Liebert PST5,44.69,300,500
CyberPower AVRG900U,119.95,480,900
APC SMX3000RMHV2UNC,3576,2700,3000
Tripp Lite SM3000RMXL2UTAA,1741.58,2880,3000
Tripp Lite SU2200XLCD,1512.54,1800,2200
APC SRT8KRMXLT,4456.22,8000,8000
APC SMT3000I,2148,2700,3000
APC SRT5KRMXLI,4937.63,4500,5000
APC SRT6KRMXLI,4240.79,6000,6000
CyberPower CP1500AVRT,219.95,900,1500
CyberPower CP900AVR,159.95,560,900
CyberPower OL2200RTXL2U,1782.95,1800,2200
APC SMT2200RM2U,1158.06,1980,2200
APC SMX2000LV,1569.99,1800,1920
APC SMX1500RMI2U,1242.99,1200,1500
CyberPower EC550G,94.95,330,550
VERTIV Liebert PSl5,598.5,1350,1440
APC BK325I,,210,325
APC SURTA3000RMXL3U,1444.06,2100,3000
Tripp Lite INTERNET550U,81.19,300,550
APC SMX3000RMLV2UNC,2549.98,2700,3000
APC SMX2000RMLV2UNC,1722.51,1800,1920
APC SMX3000HV,2797.99,2700,3000
APC SRT6KRMXLT,4690.12,6000,6000
CyberPower OR1500LCDRTXL2U,870.95,1125,1500
APC BK500EI,153.99,300,500
APC SMT1500RMI1U,2001.97,1000,1500
APC SURTD5000RMXLT3U,2802.28,3500,5000
APC BX600CI-IN,,360,600
APC BR500CI-AS,81.9,300,500
CyberPower OR500LCDRM1U,219.95,300,500
APC SMC1500I,,900,1500
APC SMX3000RMHV2U,2499.98,2700,3000
APC SRT5KRMXLW-HW,,4500,5000
Tripp Lite OMNIVS1500XL,257.54,940,1500
Tripp Lite SM2200RMXL2UTAA,1304.99,1600,2200
APC BK350,119.99,210,350
APC BN1080G,,650,1080
APC BR1000G,229,600,1000
APC BX1000G,,600,1000
APC SMC1000I,,600,1000
APC SMT2200,1499.99,1980,2200
APC SY12KEXBX120,,8400,12000
Tripp Lite SMART2200RM2U,1107.9,1920,2200
CyberPower PR1500LCDRT2U,,1350,1500
CyberPower PR2200LCDRT2UTAA,,1600,2170
IBM 53959KX,,10000,11000
CyberPower LX1500GU-FC,,900,1500
APC BR1500MS,,900,1500
CyberPower BRG1500AVRLCD2,289.95,900,1500
VERTIV Liebert PST5,84.99,400,660
Tripp Lite OMNI1500LCDT,202.21,810,1500
APC BN650M1,89.99,360,650
CyberPower BRG1000AVRLCD,170.95,600,1000
APC BK350EI,,210,350
APC SC450RMI1U,409,280,450
APC SMX3000LV,1897.34,2700,3000
APC SMX3000LVNC,2797.99,2700,3000
APC SURTD3KRMXL3U-TF5,1389.35,2100,3000
Tripp Lite SMART1500CRMXL,910.95,1440,1500
VERTIV Liebert PSA5,149.99,900,1500
APC SMC1500,555.89,900,1500
APC SMT3000R2X145,1925.06,2700,3000
APC SMT3000RM2U,1899,2700,3000
Tripp Lite INTERNET750U,113.75,450,750
Tripp Lite SMART1000LCD,187.78,500,1000
HP AF461A,2945,4500,5000
APC BE670M1,149.13,360,675
VERTIV Liebert PSA5,144.99,600,1000
VERTIV Liebert PSA5,178,420,700
APC BE750G,,450,750
APC DLT1500RMI2U,,1000,1500
APC SMT1500R2X122,979.58,1000,1500
APC SRT5KRMXLT,3105,4250,5000
Tripp Lite AVR750U,144.99,450,750
Tripp Lite AVR900U,118.04,480,900
Tripp Lite ECO550UPS,94.46,300,550
Tripp Lite SM2200RMNAFTA,2270.31,1600,2200
Tripp Lite SMART1500RM2U,856.4,1350,1500
Tripp Lite SMART3000RM2U,1613.99,2250,3000
Tripp Lite SMART3000RMXL2U,1537.1,2880,3000
Tripp Lite SMART5000TEL3U,3587.99,3750,5000
CyberPower CP550SL,,330,550
CyberPower PR2200LCDRTXL2UTAA,,1650,2150
CyberPower PR3000LCDRT2UTAA,,2250,3000
Belkin F6H650-SER,60.44,360,650
CyberPower CP825AVRLCD,134.94,450,825
APC SMX1500RM2UNC,1385.61,1200,1500
APC SMX2000LVNC,1899.99,1800,1920
Tripp Lite SMART2200RMXL2U,1301.92,1920,2200
Tripp Lite SMT1500LCDT,284.99,900,1500
APC SUA3000I,,2700,3000
APC SURTD2200XLIM,2082.29,1540,2200
Tripp Lite SMART1500,350,980,1500
Tripp Lite SMART2500XLHG,2372.99,1920,2200
Tripp Lite SU2200RTXLCD2U,1863.95,1800,2200
Tripp Lite SMART5000RT3U,5142.55,4000,5000
CyberPower CP685AVR,,390,685
VERTIV Liebert PSA5,74.98,300,500
Tripp Lite SM3000RM2UTAA,1538.99,2250,3000
Tripp Lite SMC15002URM,749.99,1000,1500
APC SMT1000,519.99,670,1000
APC BE650G1-LM,140.76,390,650
APC BGE90M,,75,125
APC BR1200GI,,720,1200
APC DLT1500I,,1000,1500
APC SC620I,,390,620
APC SMC1000,513.95,600,1000
APC SMC1000-2U,,600,1000
APC SMC1500I-2U,,900,1500
APC SMT2200RMI2U,,1980,2200
APC SMT2200RMUS,1195.24,1980,2200
APC SMT2200US,2123.87,1980,2200
APC SMT3000RMUS,2315,2700,2880
