name,image
Thermalright Peerless Assassin 120 SE 66.17 CFM CPU Cooler (PA120 SE-D3),https://m.media-amazon.com/images/I/41hFTmi5aUL.jpg
ARCTIC Liquid Freezer III Pro 360 77 CFM Liquid CPU Cooler (ACFRE00180A),https://cdna.pcpartpicker.com/static/forever/images/product/a0b2a92bb4ec2c95b5e492c9513b2c0b.256p.jpg
Cooler Master Hyper 212 Black Edition 42 CFM CPU Cooler (RR-212S-20PK-R1),https://cdna.pcpartpicker.com/static/forever/images/product/716d4c601ae190184020710e098e7b36.256p.jpg
Thermalright Aqua Elite V3 66.17 CFM Liquid CPU Cooler (Aqua Elite 360 Black V3),https://m.media-amazon.com/images/I/318f4Q17BeL.jpg
Corsair NAUTILUS 360 RS ARGB 74.37 CFM Liquid CPU Cooler (CW-9060093-WW),https://cdna.pcpartpicker.com/static/forever/images/product/3dfb3eca3bd8bf176490b7955ae6345c.256p.jpg
ARCTIC Liquid Freezer III Pro A-RGB 360 77 CFM Liquid CPU Cooler (ACFRE00184A),https://cdna.pcpartpicker.com/static/forever/images/product/4b3cb378557216401dabfeb2bb0719e1.256p.jpg
Thermalright Phantom Spirit 120 SE ARGB 66.17 CFM CPU Cooler (PS120SE ARGB),https://m.media-amazon.com/images/I/51KizlEeQZL.jpg
Thermalright Assassin X 120 Refined SE 66.17 CFM CPU Cooler (AX120 SE-D3),https://m.media-amazon.com/images/I/41aJwdGRuAL.jpg
ARCTIC Liquid Freezer III Pro A-RGB 360 77 CFM Liquid CPU Cooler (ACFRE00188A),https://cdna.pcpartpicker.com/static/forever/images/product/1288d1aa8f62f15d8ff05f28a8575a93.256p.jpg
Noctua NH-D15 chromax.black 82.52 CFM CPU Cooler (NH-D15 CHROMAX.BLACK),https://m.media-amazon.com/images/I/51kgqhkUNuL.jpg
be quiet! Dark Rock Pro 5 CPU Cooler (BK036),https://cdna.pcpartpicker.com/static/forever/images/product/a0191a4cb06d0077eab9a260cc759c8b.256p.jpg
Thermalright Aqua Elite V3 66.17 CFM Liquid CPU Cooler (Aqua Elite 240 Black V3),https://m.media-amazon.com/images/I/41pZVxhhiWL.jpg
ARCTIC Liquid Freezer III Pro 77 CFM Liquid CPU Cooler (ACFRE00178A),https://cdna.pcpartpicker.com/static/forever/images/product/8c1a0efcef96c3455d3ecd2bdc4a4fa7.256p.jpg
Corsair NAUTILUS 360 RS ARGB 74.37 CFM Liquid CPU Cooler (CW-9060095-WW),https://cdna.pcpartpicker.com/static/forever/images/product/ca7982eafd093cfb1d47f3b2887db528.256p.jpg
Noctua NH-D15 82.5 CFM CPU Cooler (NH-D15),https://cdna.pcpartpicker.com/static/forever/images/product/ca16d42d3e187f96c728c09183df14a7.med.256p.jpg
Thermalright Phantom Spirit 120 SE 66.17 CFM CPU Cooler (PS120SE),https://m.media-amazon.com/images/I/51kJe8EOqjL.jpg
Corsair iCUE LINK TITAN 360 RX LCD 73.5 CFM Liquid CPU Cooler (CW-9061023-WW),https://cdna.pcpartpicker.com/static/forever/images/product/34813b9b3153ddbea54e46dfe496930e.256p.jpg
NZXT Kraken 240 78.02 CFM Liquid CPU Cooler (RL-KN240-B1),https://cdna.pcpartpicker.com/static/forever/images/product/157afeba59d05304fe181106745e6177.256p.jpg
ARCTIC Freezer 36 CPU Cooler (ACFRE00123A),https://m.media-amazon.com/images/I/41LLTGkmTRL.jpg
Cooler Master Hyper 212 Spectrum V3 71.93 CFM CPU Cooler (RR-S4NA-17PA-R1),https://cdna.pcpartpicker.com/static/forever/images/product/99c2387300d7c25362407dbfeef14536.256p.jpg
AMD Wraith Prism 2800 CFM CPU Cooler (199-999888),https://cdna.pcpartpicker.com/static/forever/images/product/00979205bfe0f63cf50f396392775b9f.256p.jpg
NZXT Kraken Elite 360 RGB (2024) 75.12 CFM Liquid CPU Cooler (RL-KR36E-W2),https://cdna.pcpartpicker.com/static/forever/images/product/87647223e3478a0264b523d38ec982e1.256p.jpg
Thermalright Peerless Assassin 120 SE WHITE ARGB 66.17 CFM CPU Cooler (PA120 SE White ARGB),https://cdna.pcpartpicker.com/static/forever/images/product/c09b33bf4c2452bbc71fac7691860f4a.256p.jpg
ID-COOLING SE-214-XT ARGB 68.2 CFM CPU Cooler (SE-214-XT ARGB),https://m.media-amazon.com/images/I/5130uHBNUnL.jpg
Cooler Master MasterLiquid 360L Core ARGB Liquid CPU Cooler (MLW-D36M-A18PZ-R1),https://cdna.pcpartpicker.com/static/forever/images/product/17af431eeae6b8cc280717a7f3bf3da3.256p.jpg
Thermalright Phantom Spirit EVO 69 CFM CPU Cooler (Phantom Spirit 120 EVO),https://cdna.pcpartpicker.com/static/forever/images/product/df16c34a7f230bb2f6848cd90c87e0fb.256p.jpg
NZXT Kraken 360 RGB 78.02 CFM Liquid CPU Cooler (RL-KR360-B1),https://cdna.pcpartpicker.com/static/forever/images/product/da52d72313deb270a5397a87703991d0.256p.jpg
Thermalright Peerless Assassin 120 SE ARGB 66.17 CFM CPU Cooler (PA 120 SE ARGB),https://cdna.pcpartpicker.com/static/forever/images/product/1e057960fccae4328fbdc13bb45bf42c.256p.jpg
NZXT Kraken 360 78.02 CFM Liquid CPU Cooler (RL-KN360-B1),https://cdna.pcpartpicker.com/static/forever/images/product/e71bea262e634ec0decd5847c6e4d0a1.256p.jpg
Noctua NH-L9A-AM5 33.84 CFM CPU Cooler (NH-L9A-AM5),https://cdna.pcpartpicker.com/static/forever/images/product/e34aa9b26728023fbd3919e021729b44.256p.jpg
Noctua NH-L9x65 chromax.black 33.84 CFM CPU Cooler (NH-L9x65 chromax.black),https://cdna.pcpartpicker.com/static/forever/images/product/6082032e0eb29f8eed91a12a4f976321.256p.jpg
MSI MAG CORELIQUID A13 62.6 CFM Liquid CPU Cooler (MAG CORELIQUID A13 360),https://cdna.pcpartpicker.com/static/forever/images/product/94534ff5409f98708d38cc1b06d0adf7.256p.jpg
Lian Li Hydroshift LCD 360S 73.14 CFM Liquid CPU Cooler (HSLCD36SW),https://cdna.pcpartpicker.com/static/forever/images/product/47f6e66e2ffc069e7958649020d76c4c.256p.jpg
MSI MPG CORELIQUID D360 77.4 CFM Liquid CPU Cooler (MPG CORELIQUID D360),https://cdna.pcpartpicker.com/static/forever/images/product/03f3e1f6276abc7095487e641a775454.256p.jpg
Thermalright Aqua Elite V3 66.17 CFM Liquid CPU Cooler (Aqua Elite 360 White V3),https://m.media-amazon.com/images/I/31dtrhu3x8L.jpg
Lian Li Galahad II Trinity SL-INF 61.3 CFM Liquid CPU Cooler (GA2T36INB),https://cdna.pcpartpicker.com/static/forever/images/product/9a5bcf4f476d82ad6aff9287d2cb0b3a.256p.jpg
Cooler Master Hyper 212 RGB Black Edition 57.3 CFM CPU Cooler (RR-212S-20PC-R1),https://cdna.pcpartpicker.com/static/forever/images/product/16dca5ad82a279a9232b0cbcb6ed71bf.256p.jpg
Corsair NAUTILUS 240 RS ARGB 74.37 CFM Liquid CPU Cooler (CW-9060092-WW),https://cdna.pcpartpicker.com/static/forever/images/product/99d2124a37493f5a3bfe1b442e32e4de.256p.jpg
TRYX PANORAMA SE ARGB 66.09 CFM Liquid CPU Cooler (L-P360L-AM3M-G0K),https://cdna.pcpartpicker.com/static/forever/images/product/4396205566edcb98b328393b5a6e8c12.256p.jpg
ID-COOLING FROZN A620 PRO SE 58 CFM CPU Cooler (FROZN A620 PRO SE),https://cdna.pcpartpicker.com/static/forever/images/product/c4c978ad9ecf59156eab170fbfbabe21.256p.jpg
Fractal Design Celsius+ S36 Prisma PWM ARGB 85.71 CFM Liquid CPU Cooler (FD-W-2-S3602),https://cdna.pcpartpicker.com/static/forever/images/product/1ae9b0d35fc86b81d0b5d748ef46eb0f.256p.jpg
Corsair iCUE LINK TITAN 360 RX LCD 73.5 CFM Liquid CPU Cooler (CW-9061026-WW),https://cdna.pcpartpicker.com/static/forever/images/product/f06b7a0e60de10e6d1be7bbc0e98d299.256p.jpg
Asus ROG Ryujin III 360 ARGB Extreme 89.73 CFM Liquid CPU Cooler (90RC0131-M0EAY0),https://cdna.pcpartpicker.com/static/forever/images/product/39b44057eccd6eb120ce03241efb9758.256p.jpg
be quiet! Pure Rock 3 59.6 CFM CPU Cooler (BK039),https://cdna.pcpartpicker.com/static/forever/images/product/0c15d5db66e04ad50dd39228ced3a511.256p.jpg
Noctua NH-L9A-AM5 CHROMAX.BLACK 33.84 CFM CPU Cooler (NH-L9A-AM5 CHROMAX.BLACK),https://cdna.pcpartpicker.com/static/forever/images/product/7da2ce71b33904d0f379f9398d4515d7.256p.jpg
Corsair NAUTILUS 360 RS 74.37 CFM Liquid CPU Cooler (CW-9060089-WW),https://cdna.pcpartpicker.com/static/forever/images/product/064aaf809c733638ac91fac1bc46dc00.256p.jpg
be quiet! Pure Rock Pro 3 59.6 CFM CPU Cooler (BK042),https://cdna.pcpartpicker.com/static/forever/images/product/adc1a4087a4dd593fe49b79e6373bfd4.256p.jpg
TRYX PANORAMA SE ARGB 66.09 CFM Liquid CPU Cooler (L-P360L-AM3M-G0W),https://cdna.pcpartpicker.com/static/forever/images/product/15c1e29ddca56341b5ae08d55bd43b89.256p.jpg
Cooler Master MasterLiquid 240L Core ARGB Liquid CPU Cooler (MLW-D24M-A18PZ-R1),https://cdna.pcpartpicker.com/static/forever/images/product/6bda3e4685a8a28b5cd9d04ef76eb46b.256p.jpg
Thermalright Frozen Notte ARGB 72.37 CFM Liquid CPU Cooler (Frozen Notte 360 BLACK ARGB-D1),https://cdna.pcpartpicker.com/static/forever/images/product/315dec7805c5f01538f5748620fddffa.256p.jpg
Corsair iCUE LINK TITAN 360 RX RGB 73.5 CFM Liquid CPU Cooler (CW-9061018-WW),https://cdna.pcpartpicker.com/static/forever/images/product/6254fe41ae3b29682baddb5bc3088cab.256p.jpg
Lian Li Hydroshift LCD 360S 73.14 CFM Liquid CPU Cooler (HSLCD36SB),https://cdna.pcpartpicker.com/static/forever/images/product/8b28f665714d824f67a7201bc8a22500.256p.jpg
ID-COOLING SE-903-XT 45.8 CFM CPU Cooler (SE-903-XT BLACK),https://cdna.pcpartpicker.com/static/forever/images/product/6d5bb0572a7037396468750e4aa5e25a.256p.jpg
ARCTIC Liquid Freezer III Pro 110 CFM Liquid CPU Cooler (ACFRE00181A),https://m.media-amazon.com/images/I/31PUCe1FXnL.jpg
Asus ROG Ryuo IV SLC 360 ARGB 71.44 CFM Liquid CPU Cooler (90RC0151-B0EAY0),https://cdna.pcpartpicker.com/static/forever/images/product/ea53c568adee3b4cfd95df87cd04c30b.256p.jpg
Thermalright Phantom Spirit 120 SE 66.17 CFM CPU Cooler (PS120SE Black),https://cdna.pcpartpicker.com/static/forever/images/product/794ec9c0aa5dda6f170f3e442d992606.256p.jpg
NZXT Kraken Elite 360 (2024) 73.47 CFM Liquid CPU Cooler (RL-KN36E-B2),https://cdna.pcpartpicker.com/static/forever/images/product/fd99aab7f118f143c3e5fb3ffbe7634c.256p.jpg
NZXT Kraken 240 RGB 78.02 CFM Liquid CPU Cooler (RL-KR240-W1),https://cdna.pcpartpicker.com/static/forever/images/product/ebd0dcafaf707dc2d772c44585ea8e10.256p.jpg
Thermalright Assassin Spirit 120 EVO DARK 70.4 CFM CPU Cooler (AS120 EVO DARK D6-DE),https://m.media-amazon.com/images/I/41e3ob6-J3L.jpg
Thermalright Frozen Infinity 360 ARGB 68.9 CFM Liquid CPU Cooler (Frozen Infinity 360 WHITE),https://m.media-amazon.com/images/I/41m0Oop3ddL.jpg
Thermalright Assassin X 120 R Digital ARGB 70.84 CFM CPU Cooler (Assassin X 120 R Digital ARGB BLACK),https://m.media-amazon.com/images/I/41-Cw6pz6eL.jpg
Thermalright AXP90-X47 42.58 CFM CPU Cooler (AXP90-X47 BLACK),https://m.media-amazon.com/images/I/41vcBqu9GoS.jpg
Noctua NH-D15 G2 91.58 CFM CPU Cooler (NH-D15 G2),https://cdna.pcpartpicker.com/static/forever/images/product/842c59679e64a6502bd922204c4d8a24.256p.jpg
Lian Li Hydroshift II LCD-C TL 90.1 CFM Liquid CPU Cooler (GHS2LCD36TB),https://cdna.pcpartpicker.com/static/forever/images/product/f4baa809d4e22a84a737996b649c6083.256p.jpg
Noctua NH-D9L 46.44 CFM CPU Cooler (NH-D9L),https://cdna.pcpartpicker.com/static/forever/images/product/64d63da64b2f8be28775078a8f8d550a.256p.jpg
Deepcool AK400 66.47 CFM CPU Cooler (R-AK400-BKNNMN-G-1),https://cdna.pcpartpicker.com/static/forever/images/product/f11e54d5a812379d28e34bc51143332b.256p.jpg
Thermalright AQUA ELITE ARGB V4 66.17 CFM Liquid CPU Cooler (AQUA ELITE 360 ARGB V4),https://m.media-amazon.com/images/I/31q+8WFRGXL.jpg
Noctua NH-U12A chromax.black 60.09 CFM CPU Cooler (NH-U12A chromax.black),https://cdna.pcpartpicker.com/static/forever/images/product/3a24ca834f2b252f719640f8b8448b6c.256p.jpg
Thermalright Assassin Spirit 120 EVO 68.9 CFM CPU Cooler (AS120 EVO),https://m.media-amazon.com/images/I/41595fJKAOL.jpg
NZXT Kraken Elite RGB (2025) 98.61 CFM Liquid CPU Cooler (RL-KR42E-B2),https://cdna.pcpartpicker.com/static/forever/images/product/352d14da4f6e847989132472aa4dc95f.256p.jpg
Thermalright AXP90-X36 42.58 CFM CPU Cooler (AXP90-X36),https://m.media-amazon.com/images/I/41Hsrx24RFL.jpg
Cooler Master Hyper 212 Pro 70.7 CFM CPU Cooler (RR-212S-25PZ-R1),https://m.media-amazon.com/images/I/41OSDfNYM6L.jpg
Lian Li Hydroshift II LCD-C TL 90.1 CFM Liquid CPU Cooler (GHS2LCD36TW),https://cdna.pcpartpicker.com/static/forever/images/product/16683cbcca9f17747a47760100f78d94.256p.jpg
