name,image
"Seagate Barracuda Compute 2 TB 3.5"" 7200 RPM Internal Hard Drive (ST2000DM008)",https://cdna.pcpartpicker.com/static/forever/images/product/c7b5b7dacbecdcdd0e073b761193eef6.256p.jpg
"Seagate BarraCuda 4 TB 3.5"" 5400 RPM Internal Hard Drive (ST4000DM004)",https://cdna.pcpartpicker.com/static/forever/images/product/f2b81ef4f53b4566edfd5a5c7c60977d.256p.jpg
"Seagate Exos M 30 TB 3.5"" 7200 RPM Internal Hard Drive (ST30000NM004K)",https://cdna.pcpartpicker.com/static/forever/images/product/440b6d462c8e9b8f8d3f2eba0892424a.256p.jpg
"Western Digital Caviar Blue 1 TB 3.5"" 7200 RPM Internal Hard Drive (WD10EZEX)",https://cdna.pcpartpicker.com/static/forever/images/product/daf819b70eccf7fec275bd65e3fe2b6a.256p.jpg
"Seagate BarraCuda 24 TB 3.5"" 7200 RPM Internal Hard Drive (ST24000DM001)",https://cdna.pcpartpicker.com/static/forever/images/product/57eeaaaeb2ec18379ac141160edb2666.256p.jpg
"Seagate Barracuda Compute 8 TB 3.5"" 5400 RPM Internal Hard Drive (ST8000DMZ04)",https://m.media-amazon.com/images/I/41aEb8InacL.jpg
"Seagate BarraCuda 1 TB 3.5"" 7200 RPM Internal Hard Drive (ST1000DM010)",https://cdna.pcpartpicker.com/static/forever/images/product/0f3ec8d968661b3bfc4a7250f78ec8a9.256p.jpg
"Seagate Exos M 36 TB 3.5"" 7200 RPM Internal Hard Drive (ST36000NM003K)",
"Seagate IronWolf NAS 4 TB 3.5"" 5400 RPM Internal Hard Drive (ST4000VN006)",https://cdna.pcpartpicker.com/static/forever/images/product/2051a9a304e2281fca519576296b3823.256p.jpg
"Western Digital Blue 2 TB 3.5"" 7200 RPM Internal Hard Drive (WD20EZBX)",https://cdna.pcpartpicker.com/static/forever/images/product/0b9bfd76b0d511a6eff3730d12d5f95c.256p.jpg
"Western Digital Blue 4 TB 3.5"" 5400 RPM Internal Hard Drive (WD40EZAZ)",https://cdna.pcpartpicker.com/static/forever/images/product/84d21e519b342daa8e8d2326b7c89e19.256p.jpg
