name,image
MSI MAG A750GL PCIE5 750 W 80+ Gold Certified Fully Modular ATX Power Supply (MAG A750GL PCIE5),https://cdna.pcpartpicker.com/static/forever/images/product/d8f4d13ba49891eb3929bdddc3d87b4b.256p.jpg
MSI MAG A850GL PCIE5 850 W 80+ Gold Certified Fully Modular ATX Power Supply (MAG A850GL PCIE5),https://cdna.pcpartpicker.com/static/forever/images/product/79be60ce3783b8918a1c0940d3e4ff19.256p.jpg
MSI MAG A650BN 650 W 80+ Bronze Certified ATX Power Supply (MAG A650BN),https://cdna.pcpartpicker.com/static/forever/images/product/3148f884b77b2d7abee3a3e0ad72cf73.256p.jpg
Corsair RM850e (2025) 850 W Fully Modular ATX Power Supply (CP-9020296-NA),https://cdna.pcpartpicker.com/static/forever/images/product/3fa3c80c1defc487364f6bdaf2670b1e.256p.jpg
Corsair SF1000 (2024) 1000 W 80+ Platinum Certified Fully Modular SFX Power Supply (CP-9020257),https://cdna.pcpartpicker.com/static/forever/images/product/0dd4e1eecc238b78a3b4abfa14af9d50.256p.jpg
Montech CENTURY II 850 W 80+ Gold Certified Fully Modular ATX Power Supply (CENTURY II 850W),https://m.media-amazon.com/images/I/41ehLaPDbXL.jpg
Corsair RM750e (2025) 750 W Fully Modular ATX Power Supply (CP-9020295-NA),https://cdna.pcpartpicker.com/static/forever/images/product/8307e191cd38a81dc5dcf709432e21e0.256p.jpg
MSI MAG A550BN 550 W 80+ Bronze Certified ATX Power Supply (MAG A550BN),https://m.media-amazon.com/images/I/51VZJ8DVX-L.jpg
Corsair RM1000x (2024) 1000 W Fully Modular ATX Power Supply (CP-9020271-NA),https://cdna.pcpartpicker.com/static/forever/images/product/8bc2cb01b2a5875aa983b4cc5be68221.256p.jpg
Corsair RM850x (2024) 850 W Fully Modular ATX Power Supply (CP-9020270-NA),https://cdna.pcpartpicker.com/static/forever/images/product/1e3308cded9a7c92a8dba6b2be976bcc.256p.jpg
Corsair SF750 (2024) 750 W 80+ Platinum Certified Fully Modular SFX Power Supply (CP-9020284),https://cdna.pcpartpicker.com/static/forever/images/product/e297517330e5a91ec38e95b9377df1a0.256p.jpg
Thermaltake Smart 500 W 80+ Certified ATX Power Supply (PS-SPD-0500NPCWUS-W),https://m.media-amazon.com/images/I/519RlzaoKDL.jpg
MSI MAG A850GL PCIE5 850 W 80+ Gold Certified Fully Modular ATX Power Supply (MAG A850GL PCIE5 WHITE),https://cdna.pcpartpicker.com/static/forever/images/product/eef1b2e0ab31f6cbcbe01d162f44b952.256p.jpg
Cooler Master MWE GOLD 750 V2 FULL MODULAR 750 W 80+ Gold Certified Fully Modular ATX Power Supply (MPE-7501-AFAAG-US),https://cdna.pcpartpicker.com/static/forever/images/product/14006f097772a18096431e1627300499.256p.jpg
Corsair RM1000e (2025) 1000 W Fully Modular ATX Power Supply (CP-9020297-NA),https://cdna.pcpartpicker.com/static/forever/images/product/e1a0bb0ca24bc0c2d95fea57a8c2019d.256p.jpg
MSI MAG A650GL 650 W 80+ Gold Certified Fully Modular ATX Power Supply (MAG A650GL),https://cdna.pcpartpicker.com/static/forever/images/product/9fd701005a49816e85072d6ed79c2951.256p.jpg
be quiet! Pure Power 12 M 1000 W 80+ Gold Certified Fully Modular ATX Power Supply (BN506),https://cdna.pcpartpicker.com/static/forever/images/product/02078adf4372cab46e72fc7dc8ff4553.256p.jpg
Asus ROG THOR 1600T Gaming 1600 W 80+ Titanium Certified Fully Modular ATX Power Supply (90YE00K0-B0NA00),https://cdna.pcpartpicker.com/static/forever/images/product/b22fb9713e4ad5dd4245dbec30740766.256p.jpg
Thermaltake Toughpower GX2 600 W 80+ Gold Certified ATX Power Supply (PS-TPD-0600NNFAGU-2),https://cdna.pcpartpicker.com/static/forever/images/product/56f77032e78c9af99041786b5196fe91.256p.jpg
Corsair SF850 (2024) 850 W 80+ Platinum Certified Fully Modular SFX Power Supply (CP-9020256),https://cdna.pcpartpicker.com/static/forever/images/product/016556184725a9604ae50e789f12b12c.256p.jpg
Lian Li EDGE 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply (EG1000 White),https://cdna.pcpartpicker.com/static/forever/images/product/0f7d3cf44d7b3628c00c65f3f476d52e.256p.jpg
be quiet! Pure Power 12 M 850 W 80+ Gold Certified Fully Modular ATX Power Supply (BN505),https://cdna.pcpartpicker.com/static/forever/images/product/58f82e34238ad2132a69775300daa503.256p.jpg
Corsair RM650e (2025) 650 W Fully Modular ATX Power Supply (CP-9020302-NA),https://m.media-amazon.com/images/I/41G0n8yq8CL.jpg
Cooler Master V850 SFX GOLD 850 W 80+ Gold Certified Fully Modular SFX Power Supply (MPY-8501-SFHAGV-US),https://cdna.pcpartpicker.com/static/forever/images/product/bd2577c6ecabce9f78526a09410351e0.256p.jpg
Asus ROG STRIX 1200P Gaming 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply (rog-strix-1200p-gaming),https://cdna.pcpartpicker.com/static/forever/images/product/3fb2d887e5a452db696692c8205dd369.256p.jpg
