Name,Image URL
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory (CMH32GX5M2E6000C36),https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory (CMH32GX5M2E6000C36),https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Crucial Pro Overclocking 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory (CP2K16G60C36U5B),https://cdna.pcpartpicker.com/static/forever/images/product/9fdbfba897aab27f8669458508239fe1.256p.jpg
G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory (F5-6000J3636F16GX2-FX5),https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg
Corsair Vengeance RGB 64 GB (2 x 32 GB) DDR5-6000 CL30 Memory (CMH64GX5M2B6000C30),https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (CMK16GX4M2B3200C16),https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg
Patriot Viper Venom 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (PVV532G600C30K),https:https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (CTCED532G6000HC30DC01),https:https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
Corsair Vengeance 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (CMK32GX5M2B6000C30),https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
Silicon Power GAMING 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (SP016GXLZU320BDAJ5),https://cdna.pcpartpicker.com/static/forever/images/product/62a4ba196f5f165e68619a63ef5d0b70.256p.jpg
Kingston FURY Beast 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (KF560C30BBEK2-32),https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
G.Skill Trident Z5 Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (F5-6000J3038F16GX2-TZ5NR),https://cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory (CMK32GX4M2E3200C16),https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg
Silicon Power Value Gaming 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (SP032GXLWU60AFDEAE),https:https://m.media-amazon.com/images/I/318GA-iDDxL.jpg
G.Skill Trident Z5 Neo RGB 64 GB (2 x 32 GB) DDR5-6000 CL30 Memory (F5-6000J3040G32GX2-TZ5NR),https://cdna.pcpartpicker.com/static/forever/images/product/fa05a92bf5e27cd0ba94bb8372db2419.256p.jpg
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory (CMH32GX5M2E6000C36W),https://cdna.pcpartpicker.com/static/forever/images/product/1574b4ca51100d42eb00a882a6481427.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (FF4D532G6000HC30DC01),https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory (CMK32GX4M2D3600C18),https://cdna.pcpartpicker.com/static/forever/images/product/11742fd6eec55fde4e3ee3a79529a111.256p.jpg
Crucial Pro 32 GB (2 x 16 GB) DDR5-5600 CL46 Memory (CP2K16G56C46U5),https://cdna.pcpartpicker.com/static/forever/images/product/c62f5aa1d2d902523596f383c7946a7b.256p.jpg
G.Skill Ripjaws V 64 GB (4 x 16 GB) DDR4-3200 CL14 Memory (F4-3200C14Q-64GVK),https://cdna.pcpartpicker.com/static/forever/images/product/30e327c37564b45a51e587a2ed584db7.256p.jpg
Silicon Power XPOWER Zenith Gaming 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (SP032GXLWU60AFDG),https:https://m.media-amazon.com/images/I/41hGjQJ0DCL.jpg
TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (FF3D532G6000HC30DC01),https://cdna.pcpartpicker.com/static/forever/images/product/d2e3f9b94f541ad51a19011026245df2.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (FF3D532G6000HC30DC01),https://cdna.pcpartpicker.com/static/forever/images/product/d2e3f9b94f541ad51a19011026245df2.256p.jpg
G.Skill Ripjaws V 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory (F4-3200C16D-32GVK),https://cdna.pcpartpicker.com/static/forever/images/product/f97fce0b44ff2447a790b0bffc74f9f3.256p.jpg
Corsair Vengeance 64 GB (2 x 32 GB) DDR5-5200 CL40 Memory (CMK64GX5M2B5200C40),https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg
Kingston FURY Beast 16 GB (2 x 8 GB) DDR5-5200 CL40 Memory (KF552C40BBK2-16),https://cdna.pcpartpicker.com/static/forever/images/product/547d30a3ba49dc763a8c23b28f7ac74b.256p.jpg
TEAMGROUP T-Create Expert 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (CTCWD532G6000HC30DC01),https:https://m.media-amazon.com/images/I/31asQLA0njL.jpg
G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (F4-3200C16D-16GVKB),https://cdna.pcpartpicker.com/static/forever/images/product/c75eee87606a7ee1b5f90816fc5a16ea.256p.jpg
G.Skill Flare X5 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (F5-6000J3038F16GX2-FX5),https://cdna.pcpartpicker.com/static/forever/images/product/2a5856ab677607ec6f3b1c25bed693ab.256p.jpg
TEAMGROUP T-Force Vulcan Z 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (TLZGD416G3200HC16CDC01),https://cdna.pcpartpicker.com/static/forever/images/product/96753a64597c28e46bf80ef7064b214b.256p.jpg
Corsair Vengeance RGB Pro 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory (CMW32GX4M2Z3600C18),https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.256p.jpg
Silicon Power XPOWER Zenith Gaming 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (SP032GXLWU60AFDE),https:https://m.media-amazon.com/images/I/41OxIR2UurL.jpg
G.Skill Flare X5 64 GB (2 x 32 GB) DDR5-6000 CL30 Memory (F5-6000J3040G32GX2-FX5),https://cdna.pcpartpicker.com/static/forever/images/product/f7d28bd70b14a7eaef6627ce7ecc3fd6.256p.jpg
Crucial Pro Overclocking 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory (CP2K16G60C36U5W),https://cdna.pcpartpicker.com/static/forever/images/product/5a642e1d35082f6b11c123d939743045.256p.jpg
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6400 CL36 Memory (CMH32GX5M2B6400C36),https://cdna.pcpartpicker.com/static/forever/images/product/2d3753cee2dbfa61874918b8d3f9cf93.256p.jpg
Patriot Viper Venom 32 GB (2 x 16 GB) DDR5-6000 CL36 Memory (PVV532G600C36K),https://cdna.pcpartpicker.com/static/forever/images/product/82182136c557a8b9975e956b58a558fa.256p.jpg
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (CMH32GX5M2B6000Z30K),https://cdna.pcpartpicker.com/static/forever/images/product/1981efb68609538f2335a025f575a5dd.256p.jpg
Silicon Power GAMING 32 GB (2 x 16 GB) DDR4-3200 CL16 Memory (SP032GXLZU320BDAJ7),https:https://m.media-amazon.com/images/I/51w2AbYQhcS.jpg
Corsair Vengeance RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (CMH32GX5M2B6000Z30W),https://cdna.pcpartpicker.com/static/forever/images/product/7ef0d8acd3ee08b70fe3eb60ef8a89f0.256p.jpg
Corsair Dominator Titanium 64 GB (2 x 32 GB) DDR5-6600 CL32 Memory (CMP64GX5M2X6600C32W),https://cdna.pcpartpicker.com/static/forever/images/product/fdf09b4bc9f4b16d37c0920c50cc20d6.256p.jpg
Corsair Vengeance RGB Pro 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (CMW16GX4M2C3200C16),https://cdna.pcpartpicker.com/static/forever/images/product/87cd8e9d02ffb0997769f4a4d5969669.256p.jpg
Corsair Vengeance LPX 16 GB (2 x 8 GB) DDR4-3000 CL16 Memory (CMK16GX4M2D3000C16),https://cdna.pcpartpicker.com/static/forever/images/product/e78fc3e747a9baeef9096ad8e0a66f2c.256p.jpg
G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL16 Memory (F4-3600C16D-16GVKC),https://cdna.pcpartpicker.com/static/forever/images/product/a00199d12cb22ee1dc33639a754cca79.256p.jpg
G.Skill Ripjaws V 16 GB (2 x 8 GB) DDR4-3600 CL16 Memory (F4-3600C16D-16GVKC),https://cdna.pcpartpicker.com/static/forever/images/product/a00199d12cb22ee1dc33639a754cca79.256p.jpg
Corsair Vengeance 128 GB (2 x 64 GB) DDR5-6400 CL42 Memory (CMK128GX5M2B6400C42),https://cdna.pcpartpicker.com/static/forever/images/product/430bd0c0e205970df01f262dcc3ed9fa.256p.jpg
Corsair Vengeance 64 GB (2 x 32 GB) DDR5-6000 CL30 Memory (CMK64GX5M2B6000Z30),https://cdna.pcpartpicker.com/static/forever/images/product/26d2fcb6a3797a23e5a7bfe1657fb2a8.256p.jpg
G.Skill Trident Z5 Royal Neo RGB 32 GB (2 x 16 GB) DDR5-6000 CL28 Memory (F5-6000J2836G16GX2-TR5NS),https://cdna.pcpartpicker.com/static/forever/images/product/297a1bced0fdc057482d491aed331bc2.256p.jpg
Crucial Classic 16 GB (2 x 8 GB) DDR5-5600 CL46 Memory (CT2K8G56C46U5),https://cdna.pcpartpicker.com/static/forever/images/product/b28dc47f2e7061f2dba49b2b5bd6d335.256p.jpg
G.Skill Trident Z5 RGB 64 GB (2 x 32 GB) DDR5-6400 CL32 Memory (F5-6400J3239G32GX2-TZ5RK),https://cdna.pcpartpicker.com/static/forever/images/product/e5d0d71b07fa16cc1ac7eb3c676a7831.256p.jpg
Kingston FURY Beast 64 GB (2 x 32 GB) DDR5-6000 CL30 Memory (KF560C30BBEK2-64),https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
Kingston FURY Beast RGB 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (KF560C30BBEAK2-32),https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg
G.Skill Trident Z RGB 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory (F4-3600C18D-32GTZR),https://cdna.pcpartpicker.com/static/forever/images/product/67c83cfd051636aaa95e8b00b6e95d6e.256p.jpg
Patriot Viper Venom 16 GB (2 x 8 GB) DDR5-6000 CL36 Memory (PVV516G600C36GK),https://cdna.pcpartpicker.com/static/forever/images/product/8336089b3001d3eb49e18c1cf3bb6bc4.256p.jpg
TEAMGROUP T-Force Vulcan 32 GB (2 x 16 GB) DDR5-6000 CL30 Memory (FLBD532G6000HC30DC01),https:https://m.media-amazon.com/images/I/419fXKKDtvL.jpg
Kingston FURY Beast 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory (KF432C16BBK216),https://cdna.pcpartpicker.com/static/forever/images/product/f5b1674c2d725945298cd1f11d305fb7.256p.jpg
