name,price,type,color,psu,side_panel,external_volume,internal_35_bays,image
Montech XR,83.59,ATX Mid Tower,Black,,Tempered Glass,45.0,2,https://cdna.pcpartpicker.com/static/forever/images/product/dfa4f5783baf38a029b75e60cb883d12.256p.jpg
Phanteks XT PRO,67.98,ATX Mid Tower,Black,,Tempered Glass,51.8,2,https://cdna.pcpartpicker.com/static/forever/images/product/4beb27272519c97f098ceab48df1e12c.256p.jpg
NZXT H5 Flow (2024),84.99,ATX Mid Tower,Black,,Tempered Glass,45.0,1,https://cdna.pcpartpicker.com/static/forever/images/product/640e44d6b2b0264413b089545b628d0a.256p.jpg
Corsair 3500X ARGB,115.99,ATX Mid Tower,White,,Tempered Glass,55.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/f488ef9e12f2c763481fa0a720647dfd.256p.jpg
Cooler Master MasterBox Q300L,45.98,MicroATX Mini Tower,Black,,Acrylic,33.6,1,https://cdna.pcpartpicker.com/static/forever/images/product/ec48e16ee4d6629045cfc4d71c649746.256p.jpg
Corsair 4000D Airflow,94.99,ATX Mid Tower,Black,,Tinted Tempered Glass,48.6,2,https://cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg
Lian Li Lancool 207,81.99,ATX Mid Tower,Blue,,Tempered Glass,45.5,2,https://cdna.pcpartpicker.com/static/forever/images/product/393f3d73165045839334a1621040ee20.256p.jpg
NZXT H9 Flow (2023),119.99,ATX Mid Tower,Black,,Tempered Glass,66.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/61eb5534e35ce8af07f25ff28197862b.256p.jpg
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,White,,Tempered Glass,57.4,2,https://cdna.pcpartpicker.com/static/forever/images/product/f68bf787cff2da68c4f1dfe73a9981b4.256p.jpg
Corsair 3500X ARGB,115.99,ATX Mid Tower,Black,,Tempered Glass,55.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/f488ef9e12f2c763481fa0a720647dfd.256p.jpg
Montech AIR 100 ARGB,69.9,MicroATX Mid Tower,Black,,Tempered Glass,36.1,2,https://cdna.pcpartpicker.com/static/forever/images/product/24adca630b5c708e106099fc958825a1.256p.jpg
Montech AIR 903 MAX,74.99,ATX Mid Tower,Black,,Tempered Glass,54.2,2,https://m.media-amazon.com/images/I/519WrOWiOhL.jpg
Lian Li A3-mATX,72.98,MicroATX Mini Tower,Black,,Mesh,26.3,1,https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg
Fractal Design North,139.99,ATX Mid Tower,Black,,Tempered Glass,45.1,2,https://cdna.pcpartpicker.com/static/forever/images/product/1977a3a3f6f1238d12ea2a555be4d7ce.256p.jpg
HYTE Y70 Touch Infinite,439.95,ATX Mid Tower,White,,Tempered Glass,70.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/48cf06b9156aa9e1b662b35af8eb2a3b.256p.jpg
Fractal Design North XL,179.99,ATX Full Tower,Black,,Tinted Tempered Glass,61.4,2,https://cdna.pcpartpicker.com/static/forever/images/product/de8d089eec0681bef6c59b47f908e2ef.256p.jpg
Lian Li O11 VISION COMPACT,124.99,ATX Mid Tower,Black,,Tempered Glass,57.4,2,https://cdna.pcpartpicker.com/static/forever/images/product/f68bf787cff2da68c4f1dfe73a9981b4.256p.jpg
NZXT H5 Flow (2024),59.99,ATX Mid Tower,White,,Tempered Glass,45.0,1,https://cdna.pcpartpicker.com/static/forever/images/product/640e44d6b2b0264413b089545b628d0a.256p.jpg
Lian Li A3-mATX,89.99,MicroATX Mini Tower,Black / Brown,,Mesh,26.3,1,https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg
Phanteks XT PRO ULTRA,80.98,ATX Mid Tower,Black,,Tempered Glass,51.8,2,https://cdna.pcpartpicker.com/static/forever/images/product/b799e3113602fc415370943709415190.256p.jpg
NZXT H9 Flow (2023),99.99,ATX Mid Tower,White,,Tempered Glass,66.9,2,https://cdna.pcpartpicker.com/static/forever/images/product/61eb5534e35ce8af07f25ff28197862b.256p.jpg
Montech XR,79.89,ATX Mid Tower,White,,Tempered Glass,45.0,2,https://cdna.pcpartpicker.com/static/forever/images/product/dfa4f5783baf38a029b75e60cb883d12.256p.jpg
Lian Li O11D EVO RGB,159.99,ATX Mid Tower,Black,,Tempered Glass,65.3,4,https://cdna.pcpartpicker.com/static/forever/images/product/97f123a53cbb3ce24652396462da17d1.256p.jpg
NZXT H6 Flow,109.97,ATX Mid Tower,Black,,Tempered Glass,51.8,1,https://cdna.pcpartpicker.com/static/forever/images/product/0ff9e0317d9c4b1e99938a2f02ccb165.256p.jpg
Montech AIR 903 BASE,64.98,ATX Mid Tower,Black,,Tempered Glass,54.2,2,https://m.media-amazon.com/images/I/51HK6wbkmnL.jpg
HYTE Y70 Touch Infinite,564.4,ATX Mid Tower,Black,,Tempered Glass,70.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/48cf06b9156aa9e1b662b35af8eb2a3b.256p.jpg
NZXT H6 Flow,89.97,ATX Mid Tower,White,,Tempered Glass,51.8,1,https://cdna.pcpartpicker.com/static/forever/images/product/0ff9e0317d9c4b1e99938a2f02ccb165.256p.jpg
Corsair FRAME 4000D RS ARGB,104.99,ATX Mid Tower,Black,,Tempered Glass,56.7,2,https://cdna.pcpartpicker.com/static/forever/images/product/b92de105986e31796925b0c95a335fa0.256p.jpg
NZXT H3 Flow,69.98,MicroATX Mid Tower,Black,,Tinted Tempered Glass,35.0,1,https://cdna.pcpartpicker.com/static/forever/images/product/5b23443767ef786094bc4b6add8112a8.256p.jpg
Fractal Design Terra,179.99,Mini ITX Desktop,Black / Brown,,Mesh,11.4,0,https://cdna.pcpartpicker.com/static/forever/images/product/93603f04dde2fe42335d278e66b80c4d.256p.jpg
Antec C5 ARGB,114.99,ATX Mid Tower,Black,,Tempered Glass,,1,https://cdna.pcpartpicker.com/static/forever/images/product/47f5f80539aa5e8cc9f4d5ebe8cd1dd2.256p.jpg
Fractal Design Pop XL Air,119.97,ATX Full Tower,Black,,Tempered Glass,62.4,3,https://cdna.pcpartpicker.com/static/forever/images/product/048e9d2f829061df55885fb8eabd5952.256p.jpg
Lian Li LANCOOL 217,127.5,ATX Mid Tower,Black / Brown,,Tempered Glass,57.7,1,https://cdna.pcpartpicker.com/static/forever/images/product/610e12d560e4933d797d322e677d0066.256p.jpg
Lian Li O11 Dynamic EVO XL,254.98,ATX Full Tower,Black,,Tempered Glass,84.4,4,https://cdna.pcpartpicker.com/static/forever/images/product/1ec7a3be51497aa3abf33c2afcdbf5d0.256p.jpg
Montech KING 95 PRO,148.98,ATX Mid Tower,Black,,Tempered Glass,63.0,5,https://cdna.pcpartpicker.com/static/forever/images/product/6e645766ef331a1911f2c74016db9efa.256p.jpg
Fractal Design Meshify C,109.99,ATX Mid Tower,Black,,Tinted Tempered Glass,40.6,2,https://cdna.pcpartpicker.com/static/forever/images/product/5e077c6b1272ca2c11e4f7df6326370a.256p.jpg
