name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,image
AMD Ryzen 7 9800X3D,451.5,8,4.7,5.2,Zen 5,120,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/7e2d17b7b777f8b56e1b5119aa97be20.256p.jpg
AMD Ryzen 7 7800X3D,340.05,8,4.2,5.0,Zen 4,120,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/f0e0e59d75066ec825667b71c31e3c83.256p.jpg
AMD Ryzen 5 7600X,170.49,6,4.7,5.3,Zen 4,105,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg
AMD Ryzen 5 9600X,204.99,6,3.9,5.4,Zen 5,65,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/8a0df381931efb7323f458cfc42260f8.256p.jpg
AMD Ryzen 7 7700X,242.98,8,4.5,5.4,Zen 4,105,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/6d3fb7600f26fb1e94e8b0c1a99e0bfa.256p.jpg
AMD Ryzen 9 9950X3D,649.99,16,4.3,5.7,Zen 5,170,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/c091adac8120c424d3fcf03bec914302.256p.jpg
AMD Ryzen 5 5500,74.22,6,3.6,4.2,Zen 3,65,,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg
AMD Ryzen 7 9700X,305.89,8,3.8,5.5,Zen 5,65,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/a0f5a161d8c7ff3c6b0827423537a029.256p.jpg
AMD Ryzen 5 5600X,158.99,6,3.7,4.6,Zen 3,65,,https://cdna.pcpartpicker.com/static/forever/images/product/3ef757133d38ac40afe75da691ba7d60.256p.jpg
AMD Ryzen 5 5600,125.61,6,3.5,4.4,Zen 3,65,,https://cdna.pcpartpicker.com/static/forever/images/product/49fca908d8863ded4df790bd3af6bc12.256p.jpg
AMD Ryzen 7 5800X,179.95,8,3.8,4.7,Zen 3,105,,https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg
Intel Core i7-14700K,297.17,20,3.4,5.6,Raptor Lake Refresh,125,Intel UHD Graphics 770,https://cdna.pcpartpicker.com/static/forever/images/product/c3e5d01cec2fa20b6f47fe8a400c08d6.256p.jpg
Intel Core i9-14900K,439.0,24,3.2,6.0,Raptor Lake Refresh,125,Intel UHD Graphics 770,https://cdna.pcpartpicker.com/static/forever/images/product/c9117c605854e9387e57cd69ebca2415.256p.jpg
Intel Core i5-12400F,108.99,6,2.5,4.4,Alder Lake,65,,https://cdna.pcpartpicker.com/static/forever/images/product/5fe3c9cc8cbaaa4aa52aed7389d2cc10.256p.jpg
AMD Ryzen 5 3600,79.75,6,3.6,4.2,Zen 2,65,,https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg
AMD Ryzen 5 7600,196.97,6,3.8,5.1,Zen 4,65,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/fd6305088c9d16d59017b380fb9c408a.256p.jpg
AMD Ryzen 7 5700X,154.99,8,3.4,4.6,Zen 3,65,,https://cdna.pcpartpicker.com/static/forever/images/product/a0931f2db7bb9c37a199429c85a0d2e1.256p.jpg
AMD Ryzen 9 7900X,314.11,12,4.7,5.6,Zen 4,170,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg
AMD Ryzen 9 9900X,359.0,12,4.4,5.6,Zen 5,120,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/8148c56c91723188e32a508682fa9854.256p.jpg
Intel Core i5-14600K,189.99,14,3.5,5.3,Raptor Lake Refresh,125,Intel UHD Graphics 770,https://cdna.pcpartpicker.com/static/forever/images/product/c8f65245aff45313f03aaad255078883.256p.jpg
Intel Core Ultra 7 265K,269.99,20,3.9,5.5,Arrow Lake,125,Intel Xe,https://cdna.pcpartpicker.com/static/forever/images/product/19fb12d5828d3ae540e91eefa4160b79.256p.jpg
AMD Ryzen 7 5700X3D,313.3,8,3.0,4.1,Zen 3,105,,https://cdna.pcpartpicker.com/static/forever/images/product/7945bbda871bfbf95a9138fd184f4a6e.256p.jpg
Intel Core i5-14400F,125.99,10,2.5,4.7,Raptor Lake Refresh,65,,https://cdna.pcpartpicker.com/static/forever/images/product/1a89e55daad13315da1822c1630dc26c.256p.jpg
AMD Ryzen 9 9950X,533.83,16,4.3,5.7,Zen 5,170,Radeon,https://cdna.pcpartpicker.com/static/forever/images/product/c091adac8120c424d3fcf03bec914302.256p.jpg
AMD Ryzen 5 7500F,,6,3.7,5.0,Zen 4,65,,https://cdna.pcpartpicker.com/static/forever/images/product/521c4c2de515ace1e8bb11575e797393.256p.jpg
AMD Ryzen 7 5800XT,140.0,8,3.8,4.8,Zen 3,105,,https://cdna.pcpartpicker.com/static/forever/images/product/ce5ffddc2c5a21f074f6abcc6e972249.256p.jpg
