name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,image
Corsair Vengeance RGB 32 GB,94.99,"5,6000","2,16",2.968,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Flare X5 32 GB,89.99,"5,6000","2,16",2.812,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg
Corsair Vengeance LPX 16 GB,45.99,"4,3200","2,8",2.874,Black / Yellow,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg
Corsair Vengeance 32 GB,129.99,"5,6000","2,16",4.062,Black / Gray,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
TEAMGROUP T-Create Expert 32 GB,98.99,"5,6000","2,16",3.093,Black,10.0,30,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
Corsair Vengeance LPX 32 GB,77.98,"4,3600","2,16",2.437,Black / Yellow,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg
Crucial Pro Overclocking 32 GB,84.99,"5,6000","2,16",2.656,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/9fdbfba897aab27f8669458508239fe1.256p.jpg
G.Skill Trident Z5 RGB 64 GB,234.99,"5,6400","2,32",3.672,Black / Silver,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/e5d0d71b07fa16cc1ac7eb3c676a7831.256p.jpg
Corsair Vengeance RGB 64 GB,229.99,"5,6000","2,32",3.594,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"5,6000","2,16",3.312,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
G.Skill Trident Z5 Neo RGB 32 GB,119.99,"5,6000","2,16",3.75,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg
Patriot Viper Venom 32 GB,85.99,"5,6000","2,16",2.687,Black / White,10.0,30,https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
Corsair Vengeance RGB Pro 32 GB,115.0,"4,3600","2,16",3.594,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB,105.99,"5,6000","2,16",3.312,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg
Corsair Vengeance RGB 32 GB,95.99,"5,6000","2,16",3.0,White / Silver,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Silicon Power GAMING 16 GB,32.97,"4,3200","2,8",2.061,Black / Gray,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/62a4ba196f5f165e68619a63ef5d0b70.256p.jpg
TEAMGROUP T-Force Vulcan Z 16 GB,38.99,"4,3200","2,8",2.437,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/96753a64597c28e46bf80ef7064b214b.256p.jpg
Corsair Vengeance LPX 32 GB,71.98,"4,3200","2,16",2.249,Black / Yellow,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg
Kingston FURY Beast 32 GB,122.99,"5,6000","2,16",3.843,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
G.Skill Trident Z5 Neo RGB 64 GB,207.99,"5,6000","2,32",3.25,Black / Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/fa05a92bf5e27cd0ba94bb8372db2419.256p.jpg
G.Skill Ripjaws V 32 GB,71.98,"4,3200","2,16",2.249,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/f97fce0b44ff2447a790b0bffc74f9f3.256p.jpg
TEAMGROUP T-Create Expert 32 GB,98.99,"5,6000","2,16",3.093,White,10.0,30,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
G.Skill Flare X5 32 GB,109.99,"5,6000","2,16",3.437,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg
Kingston FURY Beast 16 GB,62.93,"5,5200","2,8",3.933,Black,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/547d30a3ba49dc763a8c23b28f7ac74b.256p.jpg
Corsair Vengeance RGB Pro 16 GB,54.99,"4,3200","2,8",3.437,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/87cd8e9d02ffb0997769f4a4d5969669.256p.jpg
Silicon Power Value Gaming 32 GB,90.97,"5,6000","2,16",2.843,Black,10.0,30,https://m.media-amazon.com/images/I/318GA-iDDxL.jpg
Corsair Vengeance 64 GB,156.28,"5,5200","2,32",2.442,Black,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg
G.Skill Flare X5 64 GB,193.98,"5,6000","2,32",3.031,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/f7d28bd70b14a7eaef6627ce7ecc3fd6.256p.jpg
TEAMGROUP T-Force Vulcan 32 GB,96.99,"5,6000","2,16",3.031,Black,10.0,30,https://m.media-amazon.com/images/I/419fXKKDtvL.jpg
Silicon Power GAMING 32 GB,60.99,"4,3200","2,16",1.906,Black,10.0,16,https://m.media-amazon.com/images/I/51w2AbYQhcS.jpg
Corsair Vengeance RGB 32 GB,124.99,"5,6000","2,16",3.906,Gray,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Patriot Viper Venom 32 GB,76.99,"5,6000","2,16",2.406,Black / White,12.0,36,https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
Corsair Dominator Titanium 64 GB,286.44,"5,6600","2,32",4.476,White,9.697,32,https://cdna.pcpartpicker.com/static/forever/images/product/fdf09b4bc9f4b16d37c0920c50cc20d6.256p.jpg
G.Skill Ripjaws V 64 GB,1351.9,"4,3200","4,16",21.123,Black,8.75,14,https://cdna.pcpartpicker.com/static/forever/images/product/30e327c37564b45a51e587a2ed584db7.256p.jpg
Crucial Pro Overclocking 32 GB,89.99,"5,6000","2,16",2.812,White,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/9fdbfba897aab27f8669458508239fe1.256p.jpg
G.Skill Trident Z5 Royal Neo RGB 32 GB,149.99,"5,6000","2,16",4.687,Silver,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/297a1bced0fdc057482d491aed331bc2.256p.jpg
Corsair Vengeance 64 GB,199.99,"5,6000","2,32",3.125,Black / Gray,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg
G.Skill Trident Z RGB 32 GB,82.99,"4,3600","2,16",2.593,Black,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/67c83cfd051636aaa95e8b00b6e95d6e.256p.jpg
Kingston FURY Beast 16 GB,78.61,"4,3200","2,8",4.913,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/547d30a3ba49dc763a8c23b28f7ac74b.256p.jpg
G.Skill Ripjaws V 16 GB,45.99,"4,3200","2,8",2.874,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/c75eee87606a7ee1b5f90816fc5a16ea.256p.jpg
Crucial Classic 16 GB,43.99,"5,5600","2,8",2.749,Black,16.429,46,https://cdna.pcpartpicker.com/static/forever/images/product/b28dc47f2e7061f2dba49b2b5bd6d335.256p.jpg
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"5,6000","2,16",2.718,White,10.0,30,https://m.media-amazon.com/images/I/41hGjQJ0DCL.jpg
Corsair Vengeance RGB 32 GB,94.99,"5,6400","2,16",2.968,Black,11.25,36,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Ripjaws S5 32 GB,109.99,"5,6000","2,16",3.437,Black,10.0,30,https://m.media-amazon.com/images/I/41z7Yocy0HL.jpg
Corsair Vengeance LPX 64 GB,154.99,"4,3200","2,32",2.422,Black / Yellow,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/ef76582ad70db194abfb960a5e7d6add.256p.jpg
Crucial Pro 32 GB,82.99,"5,5600","2,16",2.593,Black,16.429,46,https://cdna.pcpartpicker.com/static/forever/images/product/c62f5aa1d2d902523596f383c7946a7b.256p.jpg
Kingston FURY Beast RGB 32 GB,134.99,"5,6000","2,16",4.218,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg
Corsair Dominator Titanium 64 GB,306.23,"5,6600","2,32",4.785,Black,9.697,32,https://cdna.pcpartpicker.com/static/forever/images/product/fdf09b4bc9f4b16d37c0920c50cc20d6.256p.jpg
Crucial Pro 32 GB,78.98,"4,3200","2,16",2.468,Black,13.75,22,https://cdna.pcpartpicker.com/static/forever/images/product/c62f5aa1d2d902523596f383c7946a7b.256p.jpg
Patriot Venom 64 GB,157.99,"5,6000","2,32",2.469,Black,10.0,30,https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
Crucial Pro 64 GB,139.99,"5,5600","2,32",2.187,Black,16.429,46,https://cdna.pcpartpicker.com/static/forever/images/product/332fe880e8def29585f15f72927e21a2.256p.jpg
Corsair Vengeance 32 GB,109.99,"5,6000","2,16",3.437,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
Corsair Vengeance RGB 192 GB,614.99,"5,5200","4,48",3.203,Black,14.615,38,https://cdna.pcpartpicker.com/static/forever/images/product/fad60fde2b96ce5d811577195e0fe5d3.256p.jpg
G.Skill Ripjaws V 16 GB,49.99,"4,3600","2,8",3.124,Black,8.889,16,https://cdna.pcpartpicker.com/static/forever/images/product/c75eee87606a7ee1b5f90816fc5a16ea.256p.jpg
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"5,6000","2,16",2.718,Black,10.0,30,https://m.media-amazon.com/images/I/41hGjQJ0DCL.jpg
TEAMGROUP T-Force Delta RGB 16 GB,50.99,"4,3600","2,8",3.187,White,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/12d937d90590710d44e87577e35c530f.256p.jpg
Kingston FURY Beast 32 GB,115.81,"4,3200","2,16",3.619,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
Kingston FURY Beast 64 GB,233.99,"5,6000","2,32",3.656,Black,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/ba87b0c925c292d22dca488e2296d258.256p.jpg
G.Skill Trident Z5 RGB 48 GB,259.99,"5,8400","2,24",5.416,Black,9.524,40,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
Patriot Viper Venom 64 GB,189.99,"5,6400","2,32",2.969,Black / White,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/f872f449bc8dd16bdc142f80e9df1d88.256p.jpg
G.Skill Trident Z5 RGB 32 GB,116.99,"5,6400","2,16",3.656,Black,10.0,32,https://cdna.pcpartpicker.com/static/forever/images/product/5468241c2bc267e0ebc4ed037b0d02b6.256p.jpg
Corsair Vengeance 32 GB,114.99,"5,6000","2,16",3.593,Black / Silver,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
Timetec PINNACLE Konduit 16 GB,31.99,"4,3200","2,8",1.999,Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/35e8ef017a78a1e078ac41ce6d804b56.256p.jpg
Corsair Dominator Titanium 32 GB,180.99,"5,6000","2,16",5.656,White,10.0,30,https://cdna.pcpartpicker.com/static/forever/images/product/d031b41e8948f8b9499ec37c6b33bd91.256p.jpg
Patriot Viper Steel 32 GB,59.99,"4,3200","2,16",1.875,Silver / Black,10.0,16,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
G.Skill Flare X5 64 GB,234.99,"5,6000","2,32",3.672,Black,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/f7d28bd70b14a7eaef6627ce7ecc3fd6.256p.jpg
Corsair Vengeance 16 GB,64.98,"5,5200","2,8",4.061,Black,15.385,40,https://cdna.pcpartpicker.com/static/forever/images/product/c61cf578206c7afb06eb1af27edb1f7b.256p.jpg
G.Skill Ripjaws S5 64 GB,154.99,"5,6000","2,32",2.422,Black,12.0,36,https://cdna.pcpartpicker.com/static/forever/images/product/e8f0b56c5e17f6c71fb8582cb427229a.256p.jpg
Crucial CP2K64G56C46U5 128 GB,299.99,"5,5600","2,64",2.344,Black,16.429,46,https://cdna.pcpartpicker.com/static/forever/images/product/b42146c88ed343fce3e6f94ba345b483.256p.jpg
Timetec PINNACLE Konduit 32 GB,,"4,3600","2,16",,White,10.0,18,https://cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg
TEAMGROUP T-Create Expert 32 GB,87.99,"5,6000","2,16",2.75,Black,12.667,38,https://m.media-amazon.com/images/I/41Q6UMps9NL.jpg
Patriot Viper Venom 32 GB,87.99,"5,6400","2,16",2.75,Black / White,10.0,32,https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
G.Skill Flare X5 32 GB,127.99,"5,6000","2,16",4.0,Black,9.333,28,https://cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg
