name,price,socket,form_factor,max_memory,memory_slots,color,image
Asus PRIME B650-PLUS WIFI,159.99,AM5,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/3ed831f2c6b1c74abe73d5c4d40bd306.256p.jpg
MSI B650 GAMING PLUS WIFI,169.99,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ff33ebb87ed9f5fa5f9c54d6d316ae82.256p.jpg
MSI MAG B650 TOMAHAWK WIFI,189.42,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/dc9235e0d8052745493eb900bb9df6f6.256p.jpg
Gigabyte X870E AORUS ELITE WIFI7,325.31,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/1e1c3a84fdb8ea01eec98abd4c40d5d8.256p.jpg
Asus PRIME B550M-A WIFI II,99.99,AM4,Micro ATX,128,4,Blue / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/ff4b4e2c7f72b014f39f1864b19e7250.256p.jpg
Gigabyte B650 EAGLE AX,157.99,AM5,ATX,192,4,Gray / Black,https://m.media-amazon.com/images/I/51BdjazabVL.jpg
Asus TUF GAMING B850-PLUS WIFI,217.99,AM5,ATX,192,4,Black / Silver,https://m.media-amazon.com/images/I/51FhIr30MjL.jpg
ASRock B650M Pro RS WiFi,139.99,AM5,Micro ATX,256,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/d7893755609db1feb833c99ad9d243bf.256p.jpg
MSI MAG X870 TOMAHAWK WIFI,269.99,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/ec3fc6477ed914f51a028bc29f0e20aa.256p.jpg
Gigabyte A520M K V2,68.47,AM4,Micro ATX,64,2,Brown / Black,https://cdna.pcpartpicker.com/static/forever/images/product/ad69b238cf570ec07fb8a00adda58eda.256p.jpg
Asus B650E MAX GAMING WIFI W,149.99,AM5,ATX,256,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/233f7973b2f73df3b3273091792a871d.256p.jpg
MSI PRO B650-S WIFI,135.99,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/a3020fc8322a2821927ed01af1155620.256p.jpg
Gigabyte B550M K,99.99,AM4,Micro ATX,128,4,Brown / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/f52a9a0b2a28f096b5b1e5bf02707224.256p.jpg
ASRock B850I Lightning WiFi,253.44,AM5,Mini ITX,128,2,Black,https://m.media-amazon.com/images/I/51CyutYviQL.jpg
MSI B760 GAMING PLUS WIFI,169.99,LGA1700,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/f22d681ccfd01238e756443a474f400b.256p.jpg
MSI PRO B550M-VC WIFI,99.99,AM4,Micro ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/3ba98d49243674bac25ebc39e6cc1fbc.256p.jpg
MSI PRO Z790-A MAX WIFI,220.0,LGA1700,ATX,192,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/55e781311c4d62e83df9ac297a64c01a.256p.jpg
Asus TUF GAMING B650-PLUS WIFI,159.99,AM5,ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/d9e08ab3fe18574bdc4f01dcfecce0ea.256p.jpg
Gigabyte X870 EAGLE WIFI7,229.99,AM5,ATX,256,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/a06aef05389e93f5e4de5dc26d807abe.256p.jpg
Gigabyte X870 AORUS ELITE WIFI7 ICE,299.99,AM5,ATX,256,4,White,https://cdna.pcpartpicker.com/static/forever/images/product/d1f30b497f0fd6289278b33ec776f86b.256p.jpg
MSI B550M PRO-VDH WIFI,109.99,AM4,Micro ATX,128,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/57b4a5399dc626e9c5786f786aeb94ac.256p.jpg
Asus ROG STRIX X870E-E GAMING WIFI,478.01,AM5,ATX,192,4,Black,https://cdna.pcpartpicker.com/static/forever/images/product/e6ec6fd92a901825fcbcc79fea85c79f.256p.jpg
ASRock B850M-X WiFi R2.0,129.99,AM5,Micro ATX,128,2,Black / White,https://cdna.pcpartpicker.com/static/forever/images/product/cf3d0f0524d2e319b2e8eb117d9b63ca.256p.jpg
Gigabyte B850 EAGLE WIFI6E,179.99,AM5,ATX,256,4,Gray / Black,https://cdna.pcpartpicker.com/static/forever/images/product/2a9181a93dc5c38ea219e25f07ff1322.256p.jpg
MSI MAG B850 TOMAHAWK MAX WIFI,219.99,AM5,ATX,256,4,Black / Green,https://cdna.pcpartpicker.com/static/forever/images/product/fe0743e587416e7fa161bfd0dca8237f.256p.jpg
Gigabyte B760M GAMING PLUS WIFI DDR4,139.49,LGA1700,Micro ATX,128,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/6dcbd73f46d20ca37c1e80a00f3ef206.256p.jpg
Asus ROG STRIX B650-A GAMING WIFI,164.95,AM5,ATX,192,4,Black / Silver,https://cdna.pcpartpicker.com/static/forever/images/product/127cc163cf3e552499471f1908f99cfe.256p.jpg
Gigabyte B650M GAMING PLUS WIFI,159.94,AM5,Micro ATX,192,4,Silver / Black,https://cdna.pcpartpicker.com/static/forever/images/product/dbb71bb11592fff92343d7d68db13544.256p.jpg
