name,price,capacity_w,capacity_va,image
CyberPower CP1500PFCLCD,239.95,1000.0,1500.0,
APC SURT20KRMXLT,24100.0,16000.0,20000.0,
APC Back-UPS 1500,189.99,900.0,1500.0,https://m.media-amazon.com/images/I/419zV-+pQ+L.jpg
CyberPower CP1500AVRLCD,199.95,900.0,1500.0,
APC SRT10KRMXLI,11700.0,10000.0,10000.0,
APC Back-UPS Pro 1500S,299.99,900.0,1500.0,https://cdna.pcpartpicker.com/static/forever/images/product/e0a34fbe10acaf519ea2ed36a8e7fc2e.256p.jpg
CyberPower PR3000LCDSL,1292.95,2700.0,3000.0,
CyberPower PR2200LCDSL,942.95,1980.0,2070.0,
APC Back-UPS Pro 1500VA,201.99,900.0,1500.0,https://cdna.pcpartpicker.com/static/forever/images/product/e0a34fbe10acaf519ea2ed36a8e7fc2e.256p.jpg
APC SRT10KXLT,5600.0,10000.0,10000.0,
CyberPower CP1500AVRLCD3,199.95,900.0,1500.0,
CyberPower ST425,69.9,260.0,425.0,
APC SRT10KRMXLT,8390.75,10000.0,10000.0,
APC SRT10KXLI,,10000.0,10000.0,
CyberPower CP1000PFCLCD,179.95,600.0,1000.0,
CyberPower UT850EG,,425.0,850.0,
CyberPower OR2200PFCRT2U,740.95,1320.0,2000.0,
CyberPower PR1500LCD,700.95,1050.0,1500.0,
APC Back-UPS Pro 1500,304.99,865.0,1500.0,https://m.media-amazon.com/images/I/419zV-+pQ+L.jpg
CyberPower EC850LCD,119.95,510.0,850.0,
APC SUA5000RMI5U,9600.0,4000.0,5000.0,
APC Back-UPS Pro 1000S,171.94,600.0,1000.0,https://cdna.pcpartpicker.com/static/forever/images/product/e0a34fbe10acaf519ea2ed36a8e7fc2e.256p.jpg
PowerWalker Basic VI 2200 STL UK,,1320.0,2200.0,https://cdna.pcpartpicker.com/static/forever/images/product/c289fb1aaf02ceb989aaafba29c8dcb0.256p.jpg
CyberPower CP550SLG,77.95,330.0,550.0,
CyberPower AVRG750U,119.95,450.0,750.0,
