name,price,chipset,memory,core_clock,boost_clock,color,length,image
MSI GeForce RTX 3060 Ventus 2X 12G,299.97,GeForce RTX 3060 12GB,12,1320,1777.0,Black,235,https://cdna.pcpartpicker.com/static/forever/images/product/dbc81b89efc82ce66fb2e3ab7e0f0658.256p.jpg
Sapphire PULSE,379.99,Radeon RX 9060 XT,16,2220,3290.0,Black,240,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
MSI SHADOW 3X OC,829.99,GeForce RTX 5070 Ti,16,2300,2497.0,Black,303,https://cdna.pcpartpicker.com/static/forever/images/product/d91d1da465afdceccb1152763b266b4a.256p.jpg
Gigabyte WINDFORCE OC SFF,549.99,GeForce RTX 5070,12,2160,2542.0,Black,282,https://cdna.pcpartpicker.com/static/forever/images/product/136567e8e098d881d15de177db1e9243.256p.jpg
Sapphire PULSE,749.99,Radeon RX 9070 XT,16,2400,2970.0,Black,320,https://cdna.pcpartpicker.com/static/forever/images/product/bb4fb586eae43c6dd135c6a5b97ddb52.256p.jpg
ASRock Challenger OC,369.99,Radeon RX 9060 XT,16,2220,3290.0,Black / Silver,249,https://cdna.pcpartpicker.com/static/forever/images/product/67f500a12c85e2179f6cbad6cc4838cb.256p.jpg
Gigabyte GAMING OC,729.99,Radeon RX 9070 XT,16,2520,3060.0,Black,288,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Gigabyte GAMING OC,359.97,Radeon RX 7600 XT,16,1720,2810.0,Black / Gray,281,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
Asus ROG Astral OC,3359.99,GeForce RTX 5090,32,2010,2610.0,Black / Silver,358,https://cdna.pcpartpicker.com/static/forever/images/product/0161407080353d18971dcccd15dc3722.256p.jpg
ASRock Challenger D,219.99,Radeon RX 6600,8,1626,,Black,269,https://cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg
Asus PRIME OC,719.99,Radeon RX 9070 XT,16,2460,3030.0,Black,312,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg
Asus PRIME,479.99,GeForce RTX 5060 Ti,16,2410,2602.0,Black,304,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg
MSI VENTUS 2X BLACK OC,449.99,GeForce RTX 4060,8,1830,2505.0,Black,199,https://cdna.pcpartpicker.com/static/forever/images/product/c89cc9ea2051206aebd4189ddf05f76b.256p.jpg
Asus PRIME OC,589.99,GeForce RTX 5070,12,2160,,Black / White,306,https://cdna.pcpartpicker.com/static/forever/images/product/a276b7c0da9743accbc0a6e0d88732df.256p.jpg
MSI VENTUS 2X PLUS OC,499.99,GeForce RTX 5060 Ti,16,2410,2617.0,Black / Gray,227,https://cdna.pcpartpicker.com/static/forever/images/product/119d0908566b15ced62e41f53a108469.256p.jpg
MSI VENTUS 3X OC,789.99,GeForce RTX 5070 Ti,16,2300,2497.0,Silver / Black,303,https://cdna.pcpartpicker.com/static/forever/images/product/39f468764f322157ce781ad2c4fa803b.256p.jpg
ASRock Steel Legend,699.99,Radeon RX 9070 XT,16,2400,2970.0,White / Gray,298,https://cdna.pcpartpicker.com/static/forever/images/product/289050b8f57e88a5cc6ea4463310a5ef.256p.jpg
Gigabyte GAMING OC,389.99,Radeon RX 9060 XT,16,2220,,Black,281,https://cdna.pcpartpicker.com/static/forever/images/product/c667996432f428a46dd9e6286ff95b5f.256p.jpg
